"num","time"
1,"2012年1月13日  周五  21：40"
2,"2012年1月14日  周六  21：41"
3,"2012年1月15日   周日  21：53 "
4,"2012年1月16日  周一  21：58"
5,"2012年1月17日  周二  21：45"
6,"2012年1月18日  周三  21：51"
7,"2012年1月19日  周四  22：01"
8,"2012年1月20日  周五  21：43"
9,"2012年1月21日  周六  21：35"
10,"2012年1月22日  周日  21：53"
11,"2012年1月23日  周一  21：55"
12,"2012年1月25日  周三  22：06"
13,"2012年1月26日  周四  21：42"
14,"2012年1月27日  周五  21：55"
15,"2012年1月28日  周六  22：10"
16,"2012年1月29日  周日  22：05"
17,"2012年1月30日  周一  21：45"
18,"2012年1月31日  周二  21：58"
19,"2012年2月1日  周三  21：31"
20,"2012年2月2日  周四  21：32"
21,"2012年2月3日  周五  21：52"
22,"2012年2月4日  周六  21：54"
23,"2012年2月5日  周日  21：58"
24,"2012年2月6日  周一  22：06"
25,"2012年2月7日  周二  21：44"
26,"2012年2月9日  周四  08：47"
27,"2012年2月10日  周五  20：57"
28,"2012年2月11日  周六  21：38"
29,"2012年2月12日  周日  21：03"
30,"2012年2月13日  周一  21：27"
31,"2012年2月14日  周二  21：30"
32,"2012年2月15日  周三  21：22"
33,"2012年2月16日  周四  21：32"
34,"2012年2月17日  周五  21：51"
35,"2012年2月18日  周六  21：34"
36,"2012年2月19日  周日  21：44"
37,"2012年2月20日  周一  21：56"
38,"2012年2月21日  周二  21：36"
39,"2012年2月22日  周三  21：54"
40,"2012年2月23日  周四  21：49"
41,"2012年2月24日  周五  21：42"
42,"2012年2月25日  周六  21：55"
43,"2012年2月26日  周日  21：58"
44,"2012年2月27日  周一  21：45"
45,"2012年2月28日  周二  21：49"
46,"2012年2月29日  周三  22：02"
47,"2012年3月1日  周四  21：41"
48,"2012年3月2日  周五  22：10"
49,"2012年3月3日  周六  19：15"
50,"2012年3月4日  周日  21：46"
51,"2012年3月5日  周一  21：48"
52,"2012年3月6日  周二  21：55"
53,"2012年3月7日  周三  21：46"
54,"2012年3月8日  周四  20：35"
55,"2012年3月9日  周五  21：29"
56,"2012年3月10日  周六  20：32"
57,"2012年3月11日  周日  21：22"
58,"2012年3月12日  周一  21：22"
59,"2012年3月13日  周二  20：58"
60,"2012年3月14日  周三  21：08"
61,"2012年3月15日  周四  21：22"
62,"2012年3月16日  周五  22：06"
63,"2012年3月17日  周六  21：50"
64,"2012年3月18日  周日  20：50"
65,"2012年3月19日  周一  20：24"
66,"2012年3月20日  周二  21：47"
67,"2012年3月21日  周三  21：47"
68,"2012年3月22日  周四  21：54"
69,"2012年3月23日  周五  21：46"
70,"2012年3月24日  周六  21：34"
71,"2012年3月25日  周日  21：15"
72,"2012年3月26日  周一  21：40"
73,"2012年3月27日  周二  21：56"
74,"2012年3月28日  周三  21：58"
75,"2012年3月29日  周四  20：47"
76,"2012年3月30日  周五  21：22"
77,"2012年3月31日  周六  21：34"
78,"2012年4月1日  周日  22：12"
79,"2012年4月2日  周一  21：37"
80,"2012年4月3日  周二  21：39"
81,"2012年4月4日  周三  21：20"
82,"2012年4月5日  周四  21：17"
83,"2012年4月6日  周五  21：21"
84,"2012年4月7日  周六  21：45"
85,"2012年4月8日  周日  21：36"
86,"2012年4月9日  周一  21：38"
87,"2012年4月10日  周二  21：54"
88,"2012年4月11日  周三  21：38"
89,"2012年4月12日  周四  21：10"
90,"2012年4月14日  周六  21：31"
91,"2012年4月15日  周日  21：32"
92,"2012年4月16日  周一  22：20"
93,"2012年4月17日  周二  21：45"
94,"2012年4月18日  周三  21：26"
95,"2012年4月19日  周四  21：32"
96,"2012年4月20日  周五  21：44"
97,"2012年4月21日  周六  20：36"
98,"2012年4月22日  周日  21：34"
99,"2012年4月24日  周二  21：22"
100,"2012年4月25日  周三  21：47"
101,"2012年4月26日  周四  22：22"
102,"2012年4月27日  周五  22：11"
103,"2012年4月29日  周日  21：15"
104,"2012年4月30日  周一  22：11"
105,"2012年5月1日  周二  20：51"
106,"2012年5月2日  周三  21：19"
107,"2012年5月3日  周四  21：01"
108,"2012年5月4日  周五  21：03"
109,"2012年5月5日  周六  21：28"
110,"2012年5月6日  周日  21：15"
111,"2012年5月7日  周一  21：15"
112,"2012年5月8日  周二  21：39"
113,"2012年5月9日  周三  21：28"
114,"2012年5月10日  周四  21：48"
115,"2012年5月11日  周五  21：41"
116,"2012年5月12日  周六  21：37"
117,"2012年5月13日  周日  21：19"
118,"2012年5月14日  周一  21：27"
119,"2012年5月16日  周三  22：16"
120,"2012年5月17日  周四  21：46"
121,"2012年5月18日  周五  21：56"
122,"2012年5月19日  周六  21：38"
123,"2012年5月20日  周日  21：19"
124,"2012年5月21日  周一  21：54"
125,"2012年5月22日  周二  20：55"
126,"2012年5月23日  周三  21：56"
127,"2012年5月24日  周四  21：34"
128,"2012年5月25日  周五  20：56"
129,"2012年5月26日  周六  21：36"
130,"2012年5月27日  周日  21：28"
131,"2012年5月28日  周一  21：26"
132,"2012年5月29日  周二  20：49"
133,"2012年5月30日  周三  21：18"
134,"2012年5月31日  周四  21：38"
135,"2012年6月1日  周五  21：24"
136,"2012年6月2日  周六  21：23"
137,"2012年6月3日  周日  21：57"
138,"2012年6月5日  周二  21：36"
139,"2012年6月6日  周三  21：07"
140,"2012年6月7日  周四  21：06"
141,"2012年6月8日  周五  21：17"
142,"2012年6月9日  周六  21：27"
143,"2012年6月10日  周日  21：13"
144,"2012年6月11日  周一  21：03"
145,"2012年6月12日  周二  22：15"
146,"2012年6月13日  周三  21：16"
147,"2012年6月14日  周四  21：42"
148,"2012年6月15日  周五  21：26"
149,"2012年6月16日  周六  21：07"
150,"2012年6月17日  周日  21：05"
151,"2012年6月18日  周一  21：06"
152,"2012年6月19日  周二  21：41"
153,"2012年6月20日  周三  21：48"
154,"2012年6月22日  周五  20：21"
155,"2012年6月23日  周六  21：55"
156,"2012年6月24日  周日  21：12"
157,"2012年6月25日  周一  21：30"
158,"2012年6月26日  周二  21：19"
159,"2012年6月27日  周三  21：44"
160,"2012年6月28日  周四  21：26"
161,"2012年6月29日  周五  21：36"
162,"2012年6月30日  周六  21：35"
163,"2012年7月1日  周日  21：11"
164,"2012年7月2日  周一  21：54"
165,"2012年7月3日  周二  21：56"
166,"2012年7月4日  周三  22：29"
167,"2012年7月5日  周四  21：12"
168,"2012年7月6日  周五  21：32"
169,"2012年7月7日  周六  21：35"
170,"2012年7月8日  周日  21：54"
171,"2012年7月9日  周一  21：27"
172,"2012年7月11日  周三  22：14"
173,"2012年7月12日  周四  21：21"
174,"2012年7月13日  周五  22：13"
175,"2012年7月14日  周六  21：45"
176,"2012年7月15日  周日  21：22"
177,"2012年7月16日  周一  21：47"
178,"2012年7月17日  周二  22：19"
179,"2012年7月18日  周三  21：14"
180,"2012年7月19日  周四  21：26"
181,"2012年7月20日  周五  21：14"
182,"2012年7月21日  周六  21：04"
183,"2012年7月22日  周日  21：59"
184,"2012年7月23日  周一  21：53"
185,"2012年7月24日  周二  21：41"
186,"2012年7月25日  周三  20：44"
187,"2012年7月26日  周四  22：12"
188,"2012年7月27日  周五  22：03"
189,"2012年7月28日  周六  21：11"
190,"2012年7月29日  周日  21：12"
191,"2012年7月30日  周一  21：20"
192,"2012年7月31日  周二  22：05"
193,"2012年8月1日  周三  21：41"
194,"2012年8月3日  周五  21：15"
195,"2012年8月4日  周四  21：47"
196,"2012年8月5日  周日  21：32"
197,"2012年8月6日  周一  21：52"
198,"2012年8月7日  周二  21：20"
199,"2012年8月8日  周三  21：25"
200,"2012年8月9日  周四  21：57"
201,"2012年8月10日  周五  21：16"
202,"2012年8月11日  周六  20：50"
203,"2012年8月12日  周日  21：16"
204,"2012年8月13日  周一  21：15"
205,"2012年8月14日  周二  21：24"
206,"2012年8月15日  周三  21：36"
207,"2012年8月16日  周四  21：10"
208,"2012年8月17日  周五  21：40"
209,"2012年8月18日  周六  21：05"
210,"2012年8月19日  周日  21：13"
211,"2012年8月20日  周一  21：17"
212,"2012年8月21日  周二  21：23"
213,"2012年8月22日  周三  21：26"
214,"2012年8月23日  周四  20：53"
215,"2012年8月24日  周五  21：10"
216,"2012年8月25日  周六  21：23"
217,"2012年8月26日  周日  21：28"
218,"2012年8月27日  周一  21：15"
219,"2012年8月28日  周二  21：18"
220,"2012年8月29日  周三  21：11"
221,"2012年8月30日  周四  21：06"
222,"2012年8月31日  周五  21：23"
223,"2012年9月1日  周六  21：25"
224,"2012年9月2日  周日  21：00"
225,"2012年9月3日  周一  21：15"
226,"2012年9月4日  周二  21：02"
227,"2012年9月5日  周三  21：27"
228,"2012年9月6日  周四  21：32"
229,"2012年9月7日  周五  20：55"
230,"2012年9月8日  周六  20：56"
231,"2012年9月9日  周日  21：00"
232,"2012年9月10日  周一  21：23"
233,"2012年9月11日  周二  21：12"
234,"2012年9月12日  周三  21：07"
235,"2012年9月13日  周四  21：24"
236,"2012年9月14日  周五  22：47"
237,"2012年9月15日  周六  21：31"
238,"2012年9月16日  周日  20：57"
239,"2012年9月17日  周一  21：58"
240,"2012年9月18日  周二  21：31"
241,"2012年9月19日  周三  21：35"
242,"2012年9月20日  周四  21：59"
243,"2012年9月21日  周五  22：21"
244,"2012年9月22日  周六  21：32"
245,"2012年9月23日  周日  21：18"
246,"2012年9月24日  周一  23：06"
247,"2012年9月25日  周二  20：57"
248,"2012年9月26日  周三  20：04"
249,"2012年9月27日  周四  22：43"
250,"2012年9月28日  周五  21：35"
251,"2012年9月29日  周六  21：44"
252,"2012年9月30日  周日  20：46"
253,"2012年10月1日  周一  22：21"
254,"2012年10月2日  周二  21：27"
255,"2012年10月3日  周三  21：45"
256,"2012年10月4日  周四  21：17"
257,"2012年10月5日  周五  21：02"
258,"2012年10月6日  周六  21：23"
259,"2012年10月7日  周日  20：59"
260,"2012年10月8日  周一  21：16"
261,"2012年10月12日  周五  21：34"
262,"2012年10月14日  周日  20：27"
263,"2012年10月15日  周一  20：43"
264,"2012年10月16日  周二  21：21"
265,"2012年10月17日  周三  21：33"
266,"2012年10月18日  周四  21：01"
267,"2012年10月19日  周五  21：00"
268,"2012年10月20日  周六  21：09"
269,"2012年10月21日  周日  20：21"
270,"2012年10月22日  周一  20：04"
271,"2012年10月25日  周四  21：31"
272,"2012年10月26日  周五  21：05"
273,"2012年10月27日  周六  20：47"
274,"2012年10月29日  周一  21：18"
275,"2012年10月30日  周二  21：18"
276,"2012年10月31日  周三  21：21"
277,"2012年11月1日  周四  21：08"
278,"2012年11月2日  周五  21：11"
279,"2012年11月3日  周六  20：56"
280,"2012年11月4日  周日  21：47"
281,"2012年11月5日  周一  21：03"
282,"2012年11月6日  周二  21：03"
283,"2012年11月7日  周三  21：18"
284,"2012年11月8日  周四  21：20"
285,"2012年11月9日  周五  21：23"
286,"2012年11月10日  周六  21：18"
287,"2012年11月11日  周日  21：07"
288,"2012年11月12日  周一  21：29"
289,"2012年11月13日  周二  21：33"
290,"2012年11月14日  周三  21：01"
291,"2012年11月15日  周四  22：07"
292,"2012年11月16日  周五  21：30"
293,"2012年11月17日  周六  21：22"
294,"2012年11月18日  周日  21：32"
295,"2012年11月19日  周一  21：13"
296,"2012年11月20日  周二  21：10"
297,"2012年11月21日  周三  21：01"
298,"2012年11月22日  周四  21：15"
299,"2012年11月23日  周五  21：41"
300,"2012年11月24日  周六  21：20"
301,"2012年11月25日  周日  20：56"
302,"2012年11月26日  周一  21：17"
303,"2012年11月27日  周二  20：54"
304,"2012年11月28日  周三  21：09"
305,"2012年11月29日  周四  21：10"
306,"2012年11月30日  周五  21：12"
307,"2012年12月1日  周六  21：05"
308,"2012年12月2日  周日  21：05"
309,"2012年12月3日  周一  21：21"
310,"2012年12月4日  周二  21：29"
311,"2012年12月5日  周三  21：28"
312,"2012年12月6日  周四  21：34"
313,"2012年12月7日  周五  21：13"
314,"2012年12月8日  周六  20：48"
315,"2012年12月9日  周日  21：17"
316,"2012年12月10日  周一  21：09"
317,"2012年12月11日  周二  21：23"
318,"2012年12月12日  周三  21：14"
319,"2012年12月14日  周五  21：11"
320,"2012年12月15日  周六  21：15"
321,"2012年12月16日  周日  21：32"
322,"2012年12月17日  周一  21：14"
323,"2012年12月18日  周二  21：08"
324,"2012年12月19日  周三  21：13"
325,"2012年12月20日  周四  21：05"
326,"2012年12月21日  周五  21：23"
327,"2012年12月22日  周六  21：18"
328,"2012年12月23日  周日  20：58"
329,"2012年12月24日  周一  22：56"
330,"2012年12月25日  周二  21：05"
331,"2012年12月26日  周三  21：05"
332,"2012年12月27日  周四  22：33"
333,"2012年12月28日  周五  21：02"
334,"2012年12月29日  周六  21：30"
335,"2012年12月30日  周日  21：14"
336,"2012年12月31日  周一  21：40"
337,"2013年1月1日  周二  21：17"
338,"2013年1月2日  周三  20：48"
339,"2013年1月3日  周四  21：20"
340,"2013年1月4日  周五  21：43"
341,"2013年1月5日  周六  21：14"
342,"2013年1月6日  周日  21：33"
343,"2013年1月7日  周一  21：38"
344,"2013年1月8日  周二  20：54"
345,"2013年1月9日  周三  21：21"
346,"2013年1月10日  周四  21：16"
347,"2013年1月11日  周五  22：34"
348,"2013年1月12日  周六  21：40"
349,"2013年1月13日  周日  21：40"
350,"2013年1月14日  周一  21：39"
351,"2013年1月15日  周二  21：28"
352,"2013年1月16日  周三  21：30"
353,"2013年1月17日  周四  21：46"
354,"2013年1月18日  周五  21：37"
355,"2013年1月19日  周六  21：28"
356,"2013年1月20日  周日  21：30"
357,"2013年1月21日  周一  21：44"
358,"2013年1月22日  周二  21：28"
359,"2013年1月23日  周三  21：32"
360,"2013年1月24日  周四  21：36"
361,"2013年1月25日  周五  21：18"
362,"2013年1月26日  周六  21：23"
363,"2013年1月27日  周日  21：28"
364,"2013年1月28日  周一  21：41"
365,"2013年1月29日  周二  21：26"
366,"2013年1月30日  周三  22：08"
367,"2013年1月31日  周四  21：19"
368,"2013年2月1日  周五  21：28"
369,"2013年2月2日  周六  21：01"
370,"2013年2月3日  周日  21：29"
371,"2013年2月4日  周一  21：23"
372,"2013年2月5日  周二  21：27"
373,"2013年2月6日  周三  21：32"
374,"2013年2月7日  周四  21：20"
375,"2013年2月8日  周五  21：45"
376,"2013年2月9日  周六  21：38"
377,"2013年2月10日  周日  21：41"
378,"2013年2月11日  周一  21：38"
379,"2013年2月12日  周二  21：34"
380,"2013年2月13日  周三  21：04"
381,"2013年2月14日  周四  21：27"
382,"2013年2月15日  周五  21：36"
383,"2013年2月16日  周六  21：00"
384,"2013年2月17日  周日  21：32"
385,"2013年2月18日  周一  22：21"
386,"2013年2月19日  周二  21：32"
387,"2013年2月20日  周三  21：21"
388,"2013年2月21日  周四  20：54"
389,"2013年2月22日  周五  22：18"
390,"2013年2月23日  周六  21：07"
391,"2013年2月24日  周日  21：34"
392,"2013年2月25日  周一  21：31"
393,"2013年2月26日  周二  21：21"
394,"2013年2月27日  周三  21：22"
395,"2013年2月28日  周四  21：21"
396,"2013年3月1日  周五  21：19"
397,"2013年3月2日  周六  21：15"
398,"2013年3月3日  周日  21：00"
399,"2013年3月4日  周一  21：29"
400,"2013年3月5日  周二  21：36"
401,"2013年3月6日  周三  21：19"
402,"2013年3月7日  周日  21：40"
403,"2013年3月8日  周五  21：35"
404,"2013年3月9日  周六  21：17"
405,"2013年3月10日  周日  22：00"
406,"2013年3月11日  周一  21：23"
407,"2013年3月12日  周二  21：27"
408,"2013年3月13日  周三  21：29"
409,"2013年3月14日  周四  21：23"
410,"2013年3月15日  周五  21：30"
411,"2013年3月16日  周六  22：13"
412,"2013年3月17日  周日  21：31"
413,"2013年3月18日  周一  21：19"
414,"2013年3月19日  周二  22：49"
415,"2013年3月20日  周三  21：48"
416,"2013年3月21日  周四  21：24"
417,"2013年3月22日  周五  21：18"
418,"2013年3月23日  周六  21：09"
