"year","month","mtime","hour","minute"
2012,1,1312,21,"52"
2012,2,1273.85714285714,21,"13"
2012,3,1284.48387096774,21,"24"
2012,4,1298.33333333333,21,"38"
2012,5,1287.2,21,"27"
2012,6,1284.89285714286,21,"24"
2012,7,1298.96666666667,21,"38"
2012,8,1281.56666666667,21,"21"
2012,9,1288.06666666667,21,"28"
2012,10,1270.125,21,"10"
2012,11,1276.86666666667,21,"16"
2012,12,1280.93333333333,21,"20"
2013,1,1290.93548387097,21,"30"
2013,2,1288.46428571429,21,"28"
2013,3,1288.35483870968,21,"28"
2013,4,1282.16666666667,21,"22"
2013,5,1293.1935483871,21,"33"
2013,6,1277.93333333333,21,"17"
2013,7,1293.12903225806,21,"33"
2013,8,1322.16666666667,22,"02"
2013,9,1315.71428571429,21,"55"
2013,10,1346.25806451613,22,"26"
2013,11,1335.4,22,"15"
2013,12,1314.29032258065,21,"54"
2014,1,1318.41935483871,21,"58"
2014,2,1315.35714285714,21,"55"
2014,3,1316.8,21,"56"
2014,4,1317.06666666667,21,"57"
2014,5,1329.12903225806,22,"09"
2014,6,1335.16666666667,22,"15"
2014,7,1348.32258064516,22,"28"
2014,8,1361.58064516129,22,"41"
2014,9,1372.06666666667,22,"52"
2014,10,1367.22580645161,22,"47"
2014,11,1378.1724137931,22,"58"
2014,12,1367.41935483871,22,"47"
2015,1,1385.93548387097,23,"05"
2015,2,1374.53571428571,22,"54"
2015,3,1372.54838709677,22,"52"
2015,4,1379.96666666667,22,"59"
2015,5,1367.48387096774,22,"47"
2015,6,1395.31034482759,23,"15"
2015,7,1405.41935483871,23,"25"
2015,8,1398.96774193548,23,"18"
2015,9,1351.8,22,"31"
2015,10,1373.65517241379,22,"53"
2015,11,1399.9,23,"19"
2015,12,1388.66666666667,23,"08"
2016,1,1396.77419354839,23,"16"
2016,2,1392.37931034483,23,"12"
2016,3,1388.29032258065,23,"08"
2016,4,1386.33333333333,23,"06"
2016,5,1416.35483870968,23,"36"
2016,6,1410.36666666667,23,"30"
2016,7,1393.29032258065,23,"13"
2016,8,1402.12903225806,23,"22"
2016,9,1397.16666666667,23,"17"
2016,10,1356.06451612903,22,"36"
2016,11,1348.46428571429,22,"28"
2016,12,1377.83870967742,22,"57"
2017,1,1397.06666666667,23,"17"
2017,2,1383.42857142857,23,"03"
2017,3,1372.25806451613,22,"52"
2017,4,1390.42857142857,23,"10"
2017,5,1378.92857142857,22,"58"
2017,6,1398,23,"18"
2017,7,1402.29032258065,23,"22"
2017,8,1411.51612903226,23,"31"
2017,9,1409.26666666667,23,"29"
2017,10,1413.25806451613,23,"33"
2017,11,1408.57142857143,23,"28"
2017,12,1412.87096774194,23,"32"
2018,1,1421.54838709677,23,"41"
2018,2,1445.79310344828,24,"05"
2018,3,1417.61290322581,23,"37"
2018,4,1408.92857142857,23,"28"
2018,5,1408.48275862069,23,"28"
2018,6,1395.24137931034,23,"15"
2018,7,1394.46666666667,23,"14"
2018,8,1369.8,22,"49"
2018,9,1353.06896551724,22,"33"
