"num","year","month","day","week","hour","minute"
1,2012,1,13,"周五",21,40
2,2012,1,14,"周六",21,41
3,2012,1,15," 周日",21,53
4,2012,1,16,"周一",21,58
5,2012,1,17,"周二",21,45
6,2012,1,18,"周三",21,51
7,2012,1,19,"周四",22,1
8,2012,1,20,"周五",21,43
9,2012,1,21,"周六",21,35
10,2012,1,22,"周日",21,53
11,2012,1,23,"周一",21,55
12,2012,1,25,"周三",22,6
13,2012,1,26,"周四",21,42
14,2012,1,27,"周五",21,55
15,2012,1,28,"周六",22,10
16,2012,1,29,"周日",22,5
17,2012,1,30,"周一",21,45
18,2012,1,31,"周二",21,58
19,2012,2,1,"周三",21,31
20,2012,2,2,"周四",21,32
21,2012,2,3,"周五",21,52
22,2012,2,4,"周六",21,54
23,2012,2,5,"周日",21,58
24,2012,2,6,"周一",22,6
25,2012,2,7,"周二",21,44
26,2012,2,9,"周四",8,47
27,2012,2,10,"周五",20,57
28,2012,2,11,"周六",21,38
29,2012,2,12,"周日",21,3
30,2012,2,13,"周一",21,27
31,2012,2,14,"周二",21,30
32,2012,2,15,"周三",21,22
33,2012,2,16,"周四",21,32
34,2012,2,17,"周五",21,51
35,2012,2,18,"周六",21,34
36,2012,2,19,"周日",21,44
37,2012,2,20,"周一",21,56
38,2012,2,21,"周二",21,36
39,2012,2,22,"周三",21,54
40,2012,2,23,"周四",21,49
41,2012,2,24,"周五",21,42
42,2012,2,25,"周六",21,55
43,2012,2,26,"周日",21,58
44,2012,2,27,"周一",21,45
45,2012,2,28,"周二",21,49
46,2012,2,29,"周三",22,2
47,2012,3,1,"周四",21,41
48,2012,3,2,"周五",22,10
49,2012,3,3,"周六",19,15
50,2012,3,4,"周日",21,46
51,2012,3,5,"周一",21,48
52,2012,3,6,"周二",21,55
53,2012,3,7,"周三",21,46
54,2012,3,8,"周四",20,35
55,2012,3,9,"周五",21,29
56,2012,3,10,"周六",20,32
57,2012,3,11,"周日",21,22
58,2012,3,12,"周一",21,22
59,2012,3,13,"周二",20,58
60,2012,3,14,"周三",21,8
61,2012,3,15,"周四",21,22
62,2012,3,16,"周五",22,6
63,2012,3,17,"周六",21,50
64,2012,3,18,"周日",20,50
65,2012,3,19,"周一",20,24
66,2012,3,20,"周二",21,47
67,2012,3,21,"周三",21,47
68,2012,3,22,"周四",21,54
69,2012,3,23,"周五",21,46
70,2012,3,24,"周六",21,34
71,2012,3,25,"周日",21,15
72,2012,3,26,"周一",21,40
73,2012,3,27,"周二",21,56
74,2012,3,28,"周三",21,58
75,2012,3,29,"周四",20,47
76,2012,3,30,"周五",21,22
77,2012,3,31,"周六",21,34
78,2012,4,1,"周日",22,12
79,2012,4,2,"周一",21,37
80,2012,4,3,"周二",21,39
81,2012,4,4,"周三",21,20
82,2012,4,5,"周四",21,17
83,2012,4,6,"周五",21,21
84,2012,4,7,"周六",21,45
85,2012,4,8,"周日",21,36
86,2012,4,9,"周一",21,38
87,2012,4,10,"周二",21,54
88,2012,4,11,"周三",21,38
89,2012,4,12,"周四",21,10
90,2012,4,14,"周六",21,31
91,2012,4,15,"周日",21,32
92,2012,4,16,"周一",22,20
93,2012,4,17,"周二",21,45
94,2012,4,18,"周三",21,26
95,2012,4,19,"周四",21,32
96,2012,4,20,"周五",21,44
97,2012,4,21,"周六",20,36
98,2012,4,22,"周日",21,34
99,2012,4,24,"周二",21,22
100,2012,4,25,"周三",21,47
101,2012,4,26,"周四",22,22
102,2012,4,27,"周五",22,11
103,2012,4,29,"周日",21,15
104,2012,4,30,"周一",22,11
105,2012,5,1,"周二",20,51
106,2012,5,2,"周三",21,19
107,2012,5,3,"周四",21,1
108,2012,5,4,"周五",21,3
109,2012,5,5,"周六",21,28
110,2012,5,6,"周日",21,15
111,2012,5,7,"周一",21,15
112,2012,5,8,"周二",21,39
113,2012,5,9,"周三",21,28
114,2012,5,10,"周四",21,48
115,2012,5,11,"周五",21,41
116,2012,5,12,"周六",21,37
117,2012,5,13,"周日",21,19
118,2012,5,14,"周一",21,27
119,2012,5,16,"周三",22,16
120,2012,5,17,"周四",21,46
121,2012,5,18,"周五",21,56
122,2012,5,19,"周六",21,38
123,2012,5,20,"周日",21,19
124,2012,5,21,"周一",21,54
125,2012,5,22,"周二",20,55
126,2012,5,23,"周三",21,56
127,2012,5,24,"周四",21,34
128,2012,5,25,"周五",20,56
129,2012,5,26,"周六",21,36
130,2012,5,27,"周日",21,28
131,2012,5,28,"周一",21,26
132,2012,5,29,"周二",20,49
133,2012,5,30,"周三",21,18
134,2012,5,31,"周四",21,38
135,2012,6,1,"周五",21,24
136,2012,6,2,"周六",21,23
137,2012,6,3,"周日",21,57
138,2012,6,5,"周二",21,36
139,2012,6,6,"周三",21,7
140,2012,6,7,"周四",21,6
141,2012,6,8,"周五",21,17
142,2012,6,9,"周六",21,27
143,2012,6,10,"周日",21,13
144,2012,6,11,"周一",21,3
145,2012,6,12,"周二",22,15
146,2012,6,13,"周三",21,16
147,2012,6,14,"周四",21,42
148,2012,6,15,"周五",21,26
149,2012,6,16,"周六",21,7
150,2012,6,17,"周日",21,5
151,2012,6,18,"周一",21,6
152,2012,6,19,"周二",21,41
153,2012,6,20,"周三",21,48
154,2012,6,22,"周五",20,21
155,2012,6,23,"周六",21,55
156,2012,6,24,"周日",21,12
157,2012,6,25,"周一",21,30
158,2012,6,26,"周二",21,19
159,2012,6,27,"周三",21,44
160,2012,6,28,"周四",21,26
161,2012,6,29,"周五",21,36
162,2012,6,30,"周六",21,35
163,2012,7,1,"周日",21,11
164,2012,7,2,"周一",21,54
165,2012,7,3,"周二",21,56
166,2012,7,4,"周三",22,29
167,2012,7,5,"周四",21,12
168,2012,7,6,"周五",21,32
169,2012,7,7,"周六",21,35
170,2012,7,8,"周日",21,54
171,2012,7,9,"周一",21,27
172,2012,7,11,"周三",22,14
173,2012,7,12,"周四",21,21
174,2012,7,13,"周五",22,13
175,2012,7,14,"周六",21,45
176,2012,7,15,"周日",21,22
177,2012,7,16,"周一",21,47
178,2012,7,17,"周二",22,19
179,2012,7,18,"周三",21,14
180,2012,7,19,"周四",21,26
181,2012,7,20,"周五",21,14
182,2012,7,21,"周六",21,4
183,2012,7,22,"周日",21,59
184,2012,7,23,"周一",21,53
185,2012,7,24,"周二",21,41
186,2012,7,25,"周三",20,44
187,2012,7,26,"周四",22,12
188,2012,7,27,"周五",22,3
189,2012,7,28,"周六",21,11
190,2012,7,29,"周日",21,12
191,2012,7,30,"周一",21,20
192,2012,7,31,"周二",22,5
193,2012,8,1,"周三",21,41
194,2012,8,3,"周五",21,15
195,2012,8,4,"周四",21,47
196,2012,8,5,"周日",21,32
197,2012,8,6,"周一",21,52
198,2012,8,7,"周二",21,20
199,2012,8,8,"周三",21,25
200,2012,8,9,"周四",21,57
201,2012,8,10,"周五",21,16
202,2012,8,11,"周六",20,50
203,2012,8,12,"周日",21,16
204,2012,8,13,"周一",21,15
205,2012,8,14,"周二",21,24
206,2012,8,15,"周三",21,36
207,2012,8,16,"周四",21,10
208,2012,8,17,"周五",21,40
209,2012,8,18,"周六",21,5
210,2012,8,19,"周日",21,13
211,2012,8,20,"周一",21,17
212,2012,8,21,"周二",21,23
213,2012,8,22,"周三",21,26
214,2012,8,23,"周四",20,53
215,2012,8,24,"周五",21,10
216,2012,8,25,"周六",21,23
217,2012,8,26,"周日",21,28
218,2012,8,27,"周一",21,15
219,2012,8,28,"周二",21,18
220,2012,8,29,"周三",21,11
221,2012,8,30,"周四",21,6
222,2012,8,31,"周五",21,23
223,2012,9,1,"周六",21,25
224,2012,9,2,"周日",21,0
225,2012,9,3,"周一",21,15
226,2012,9,4,"周二",21,2
227,2012,9,5,"周三",21,27
228,2012,9,6,"周四",21,32
229,2012,9,7,"周五",20,55
230,2012,9,8,"周六",20,56
231,2012,9,9,"周日",21,0
232,2012,9,10,"周一",21,23
233,2012,9,11,"周二",21,12
234,2012,9,12,"周三",21,7
235,2012,9,13,"周四",21,24
236,2012,9,14,"周五",22,47
237,2012,9,15,"周六",21,31
238,2012,9,16,"周日",20,57
239,2012,9,17,"周一",21,58
240,2012,9,18,"周二",21,31
241,2012,9,19,"周三",21,35
242,2012,9,20,"周四",21,59
243,2012,9,21,"周五",22,21
244,2012,9,22,"周六",21,32
245,2012,9,23,"周日",21,18
246,2012,9,24,"周一",23,6
247,2012,9,25,"周二",20,57
248,2012,9,26,"周三",20,4
249,2012,9,27,"周四",22,43
250,2012,9,28,"周五",21,35
251,2012,9,29,"周六",21,44
252,2012,9,30,"周日",20,46
253,2012,10,1,"周一",22,21
254,2012,10,2,"周二",21,27
255,2012,10,3,"周三",21,45
256,2012,10,4,"周四",21,17
257,2012,10,5,"周五",21,2
258,2012,10,6,"周六",21,23
259,2012,10,7,"周日",20,59
260,2012,10,8,"周一",21,16
261,2012,10,12,"周五",21,34
262,2012,10,14,"周日",20,27
263,2012,10,15,"周一",20,43
264,2012,10,16,"周二",21,21
265,2012,10,17,"周三",21,33
266,2012,10,18,"周四",21,1
267,2012,10,19,"周五",21,0
268,2012,10,20,"周六",21,9
269,2012,10,21,"周日",20,21
270,2012,10,22,"周一",20,4
271,2012,10,25,"周四",21,31
272,2012,10,26,"周五",21,5
273,2012,10,27,"周六",20,47
274,2012,10,29,"周一",21,18
275,2012,10,30,"周二",21,18
276,2012,10,31,"周三",21,21
277,2012,11,1,"周四",21,8
278,2012,11,2,"周五",21,11
279,2012,11,3,"周六",20,56
280,2012,11,4,"周日",21,47
281,2012,11,5,"周一",21,3
